date,value,classification
2023-01-01,50.0,Neutral
2023-01-02,52.0,Neutral
2023-01-03,51.3,Neutral
2023-01-04,53.9,Neutral
2023-01-05,59.8,Neutral
2023-01-06,58.3,Neutral
2023-01-07,57.0,Neutral
2023-01-08,62.9,Greed
2023-01-09,65.4,Greed
2023-01-10,62.7,Greed
2023-01-11,64.3,Greed
2023-01-12,61.7,Greed
2023-01-13,59.2,Neutral
2023-01-14,59.7,Neutral
2023-01-15,51.6,Neutral
2023-01-16,44.6,Neutral
2023-01-17,42.6,Neutral
2023-01-18,39.0,Fear
2023-01-19,40.8,Neutral
2023-01-20,37.6,Fear
2023-01-21,32.6,Fear
2023-01-22,39.3,Fear
2023-01-23,38.9,Fear
2023-01-24,39.8,Fear
2023-01-25,34.6,Fear
2023-01-26,33.2,Fear
2023-01-27,34.5,Fear
2023-01-28,30.6,Fear
2023-01-29,33.1,Fear
2023-01-30,31.5,Fear
2023-01-31,31.3,Fear
2023-02-01,29.8,Fear
2023-02-02,38.2,Fear
2023-02-03,38.8,Fear
2023-02-04,35.1,Fear
2023-02-05,39.1,Fear
2023-02-06,34.8,Fear
2023-02-07,36.4,Fear
2023-02-08,29.2,Fear
2023-02-09,25.0,Fear
2023-02-10,27.0,Fear
2023-02-11,31.1,Fear
2023-02-12,32.7,Fear
2023-02-13,33.1,Fear
2023-02-14,32.8,Fear
2023-02-15,27.7,Fear
2023-02-16,26.0,Fear
2023-02-17,25.3,Fear
2023-02-18,30.8,Fear
2023-02-19,33.1,Fear
2023-02-20,26.9,Fear
2023-02-21,29.4,Fear
2023-02-22,28.9,Fear
2023-02-23,27.2,Fear
2023-02-24,30.8,Fear
2023-02-25,35.9,Fear
2023-02-26,40.3,Neutral
2023-02-27,37.4,Fear
2023-02-28,36.8,Fear
2023-03-01,38.8,Fear
2023-03-02,43.3,Neutral
2023-03-03,41.7,Neutral
2023-03-04,41.4,Neutral
2023-03-05,37.4,Fear
2023-03-06,33.2,Fear
2023-03-07,37.3,Fear
2023-03-08,43.4,Neutral
2023-03-09,43.4,Neutral
2023-03-10,47.8,Neutral
2023-03-11,49.3,Neutral
2023-03-12,46.8,Neutral
2023-03-13,48.4,Neutral
2023-03-14,54.6,Neutral
2023-03-15,54.2,Neutral
2023-03-16,60.3,Greed
2023-03-17,49.3,Neutral
2023-03-18,52.6,Neutral
2023-03-19,52.8,Neutral
2023-03-20,51.5,Neutral
2023-03-21,51.8,Neutral
2023-03-22,43.7,Neutral
2023-03-23,43.2,Neutral
2023-03-24,44.9,Neutral
2023-03-25,51.1,Neutral
2023-03-26,49.0,Neutral
2023-03-27,45.8,Neutral
2023-03-28,44.0,Neutral
2023-03-29,48.0,Neutral
2023-03-30,49.4,Neutral
2023-03-31,47.3,Neutral
2023-04-01,49.5,Neutral
2023-04-02,49.9,Neutral
2023-04-03,53.8,Neutral
2023-04-04,50.8,Neutral
2023-04-05,49.4,Neutral
2023-04-06,47.9,Neutral
2023-04-07,42.1,Neutral
2023-04-08,43.7,Neutral
2023-04-09,45.1,Neutral
2023-04-10,45.3,Neutral
2023-04-11,44.6,Neutral
2023-04-12,39.2,Fear
2023-04-13,38.1,Fear
2023-04-14,37.3,Fear
2023-04-15,34.7,Fear
2023-04-16,34.9,Fear
2023-04-17,37.2,Fear
2023-04-18,45.4,Neutral
2023-04-19,46.3,Neutral
2023-04-20,47.6,Neutral
2023-04-21,47.4,Neutral
2023-04-22,39.8,Fear
2023-04-23,40.2,Neutral
2023-04-24,41.0,Neutral
2023-04-25,51.3,Neutral
2023-04-26,50.4,Neutral
2023-04-27,51.6,Neutral
2023-04-28,51.4,Neutral
2023-04-29,46.7,Neutral
2023-04-30,51.4,Neutral
2023-05-01,54.3,Neutral
2023-05-02,57.3,Neutral
2023-05-03,53.3,Neutral
2023-05-04,58.7,Neutral
2023-05-05,52.7,Neutral
2023-05-06,54.9,Neutral
2023-05-07,63.4,Greed
2023-05-08,58.8,Neutral
2023-05-09,56.1,Neutral
2023-05-10,56.2,Neutral
2023-05-11,53.9,Neutral
2023-05-12,47.5,Neutral
2023-05-13,47.9,Neutral
2023-05-14,43.7,Neutral
2023-05-15,45.9,Neutral
2023-05-16,42.4,Neutral
2023-05-17,49.0,Neutral
2023-05-18,45.9,Neutral
2023-05-19,44.9,Neutral
2023-05-20,48.4,Neutral
2023-05-21,43.5,Neutral
2023-05-22,44.8,Neutral
2023-05-23,50.3,Neutral
2023-05-24,43.8,Neutral
2023-05-25,44.9,Neutral
2023-05-26,46.2,Neutral
2023-05-27,49.5,Neutral
2023-05-28,44.6,Neutral
2023-05-29,39.5,Fear
2023-05-30,42.2,Neutral
2023-05-31,43.7,Neutral
2023-06-01,45.0,Neutral
2023-06-02,46.7,Neutral
2023-06-03,44.1,Neutral
2023-06-04,45.4,Neutral
2023-06-05,46.8,Neutral
2023-06-06,44.1,Neutral
2023-06-07,51.8,Neutral
2023-06-08,53.6,Neutral
2023-06-09,48.7,Neutral
2023-06-10,51.4,Neutral
2023-06-11,47.4,Neutral
2023-06-12,50.7,Neutral
2023-06-13,55.3,Neutral
2023-06-14,51.7,Neutral
2023-06-15,55.5,Neutral
2023-06-16,56.9,Neutral
2023-06-17,59.8,Neutral
2023-06-18,66.9,Greed
2023-06-19,65.1,Greed
2023-06-20,61.3,Greed
2023-06-21,57.2,Neutral
2023-06-22,53.6,Neutral
2023-06-23,53.1,Neutral
2023-06-24,54.3,Neutral
2023-06-25,55.2,Neutral
2023-06-26,58.2,Neutral
2023-06-27,57.9,Neutral
2023-06-28,63.3,Greed
2023-06-29,61.6,Greed
2023-06-30,71.9,Greed
2023-07-01,73.3,Greed
2023-07-02,68.7,Greed
2023-07-03,63.5,Greed
2023-07-04,64.7,Greed
2023-07-05,63.1,Greed
2023-07-06,65.3,Greed
2023-07-07,66.4,Greed
2023-07-08,65.3,Greed
2023-07-09,61.2,Greed
2023-07-10,54.5,Neutral
2023-07-11,52.5,Neutral
2023-07-12,55.8,Neutral
2023-07-13,56.4,Neutral
2023-07-14,51.1,Neutral
2023-07-15,51.7,Neutral
2023-07-16,53.2,Neutral
2023-07-17,49.5,Neutral
2023-07-18,50.1,Neutral
2023-07-19,50.4,Neutral
2023-07-20,45.8,Neutral
2023-07-21,47.4,Neutral
2023-07-22,49.8,Neutral
2023-07-23,54.1,Neutral
2023-07-24,58.1,Neutral
2023-07-25,52.2,Neutral
2023-07-26,48.4,Neutral
2023-07-27,50.5,Neutral
2023-07-28,52.5,Neutral
2023-07-29,54.5,Neutral
2023-07-30,69.7,Greed
2023-07-31,71.0,Greed
2023-08-01,74.4,Greed
2023-08-02,77.0,Greed
2023-08-03,78.3,Greed
2023-08-04,75.6,Greed
2023-08-05,77.4,Greed
2023-08-06,72.9,Greed
2023-08-07,70.8,Greed
2023-08-08,67.8,Greed
2023-08-09,67.3,Greed
2023-08-10,75.7,Greed
2023-08-11,66.9,Greed
2023-08-12,68.8,Greed
2023-08-13,61.4,Greed
2023-08-14,59.0,Neutral
2023-08-15,62.9,Greed
2023-08-16,62.5,Greed
2023-08-17,57.6,Neutral
2023-08-18,54.3,Neutral
2023-08-19,56.8,Neutral
2023-08-20,53.6,Neutral
2023-08-21,54.2,Neutral
2023-08-22,54.2,Neutral
2023-08-23,51.4,Neutral
2023-08-24,59.9,Neutral
2023-08-25,61.9,Greed
2023-08-26,53.2,Neutral
2023-08-27,53.8,Neutral
2023-08-28,51.0,Neutral
2023-08-29,54.3,Neutral
2023-08-30,51.0,Neutral
2023-08-31,50.5,Neutral
2023-09-01,52.5,Neutral
2023-09-02,55.8,Neutral
2023-09-03,50.7,Neutral
2023-09-04,49.3,Neutral
2023-09-05,47.5,Neutral
2023-09-06,45.0,Neutral
2023-09-07,52.3,Neutral
2023-09-08,53.8,Neutral
2023-09-09,48.6,Neutral
2023-09-10,52.3,Neutral
2023-09-11,60.7,Greed
2023-09-12,64.3,Greed
2023-09-13,57.5,Neutral
2023-09-14,55.2,Neutral
2023-09-15,60.0,Neutral
2023-09-16,56.7,Neutral
2023-09-17,58.1,Neutral
2023-09-18,60.8,Greed
2023-09-19,56.5,Neutral
2023-09-20,56.0,Neutral
2023-09-21,42.7,Neutral
2023-09-22,39.0,Fear
2023-09-23,38.5,Fear
2023-09-24,34.1,Fear
2023-09-25,41.4,Neutral
2023-09-26,36.1,Fear
2023-09-27,35.1,Fear
2023-09-28,36.3,Fear
2023-09-29,42.8,Neutral
2023-09-30,37.4,Fear
2023-10-01,42.7,Neutral
2023-10-02,43.1,Neutral
2023-10-03,39.5,Fear
2023-10-04,41.9,Neutral
2023-10-05,43.1,Neutral
2023-10-06,41.0,Neutral
2023-10-07,41.8,Neutral
2023-10-08,40.6,Neutral
2023-10-09,41.6,Neutral
2023-10-10,44.6,Neutral
2023-10-11,51.2,Neutral
2023-10-12,46.2,Neutral
2023-10-13,54.9,Neutral
2023-10-14,46.9,Neutral
2023-10-15,46.4,Neutral
2023-10-16,49.0,Neutral
2023-10-17,50.1,Neutral
2023-10-18,47.6,Neutral
2023-10-19,46.9,Neutral
2023-10-20,45.1,Neutral
2023-10-21,43.0,Neutral
2023-10-22,46.7,Neutral
2023-10-23,48.3,Neutral
2023-10-24,45.6,Neutral
2023-10-25,49.5,Neutral
2023-10-26,50.7,Neutral
2023-10-27,53.9,Neutral
2023-10-28,56.3,Neutral
2023-10-29,52.6,Neutral
2023-10-30,50.3,Neutral
2023-10-31,53.2,Neutral
2023-11-01,55.5,Neutral
2023-11-02,55.2,Neutral
2023-11-03,55.4,Neutral
2023-11-04,60.2,Greed
2023-11-05,57.3,Neutral
2023-11-06,59.2,Neutral
2023-11-07,57.9,Neutral
2023-11-08,56.6,Neutral
2023-11-09,60.7,Greed
2023-11-10,63.5,Greed
2023-11-11,66.0,Greed
2023-11-12,70.5,Greed
2023-11-13,69.5,Greed
2023-11-14,71.3,Greed
2023-11-15,69.0,Greed
2023-11-16,69.3,Greed
2023-11-17,67.8,Greed
2023-11-18,67.3,Greed
2023-11-19,68.8,Greed
2023-11-20,64.6,Greed
2023-11-21,72.3,Greed
2023-11-22,67.1,Greed
2023-11-23,61.4,Greed
2023-11-24,65.5,Greed
2023-11-25,67.9,Greed
2023-11-26,69.5,Greed
2023-11-27,71.0,Greed
2023-11-28,69.9,Greed
2023-11-29,65.3,Greed
2023-11-30,64.9,Greed
2023-12-01,61.4,Greed
2023-12-02,64.7,Greed
2023-12-03,63.4,Greed
2023-12-04,59.4,Neutral
2023-12-05,57.7,Neutral
2023-12-06,59.0,Neutral
2023-12-07,56.2,Neutral
2023-12-08,52.6,Neutral
2023-12-09,53.5,Neutral
2023-12-10,54.3,Neutral
2023-12-11,52.1,Neutral
2023-12-12,50.1,Neutral
2023-12-13,51.0,Neutral
2023-12-14,45.1,Neutral
2023-12-15,39.8,Fear
2023-12-16,37.4,Fear
2023-12-17,37.2,Fear
2023-12-18,39.1,Fear
2023-12-19,45.5,Neutral
2023-12-20,49.2,Neutral
2023-12-21,48.6,Neutral
2023-12-22,48.6,Neutral
2023-12-23,44.6,Neutral
2023-12-24,44.8,Neutral
2023-12-25,43.9,Neutral
2023-12-26,45.5,Neutral
2023-12-27,42.4,Neutral
2023-12-28,44.9,Neutral
2023-12-29,51.3,Neutral
2023-12-30,50.8,Neutral
2023-12-31,52.3,Neutral
2024-01-01,55.0,Neutral
2024-01-02,53.1,Neutral
2024-01-03,53.9,Neutral
2024-01-04,53.7,Neutral
2024-01-05,53.9,Neutral
2024-01-06,50.6,Neutral
2024-01-07,50.7,Neutral
2024-01-08,52.7,Neutral
2024-01-09,58.3,Neutral
2024-01-10,61.8,Greed
2024-01-11,69.8,Greed
2024-01-12,65.7,Greed
2024-01-13,68.4,Greed
2024-01-14,68.2,Greed
2024-01-15,76.1,Greed
2024-01-16,71.5,Greed
2024-01-17,67.1,Greed
2024-01-18,63.9,Greed
2024-01-19,54.7,Neutral
2024-01-20,52.3,Neutral
2024-01-21,49.2,Neutral
2024-01-22,49.8,Neutral
2024-01-23,51.2,Neutral
2024-01-24,58.6,Neutral
2024-01-25,62.0,Greed
2024-01-26,59.1,Neutral
2024-01-27,55.1,Neutral
2024-01-28,56.8,Neutral
2024-01-29,51.2,Neutral
2024-01-30,58.4,Neutral
2024-01-31,62.7,Greed
2024-02-01,60.2,Greed
2024-02-02,52.8,Neutral
2024-02-03,58.1,Neutral
2024-02-04,57.3,Neutral
2024-02-05,61.8,Greed
2024-02-06,54.9,Neutral
2024-02-07,52.2,Neutral
2024-02-08,52.1,Neutral
2024-02-09,52.2,Neutral
2024-02-10,50.3,Neutral
2024-02-11,52.8,Neutral
2024-02-12,48.4,Neutral
2024-02-13,47.9,Neutral
2024-02-14,48.5,Neutral
2024-02-15,50.6,Neutral
2024-02-16,53.4,Neutral
2024-02-17,48.8,Neutral
2024-02-18,42.7,Neutral
2024-02-19,48.2,Neutral
2024-02-20,49.6,Neutral
2024-02-21,46.6,Neutral
2024-02-22,53.0,Neutral
2024-02-23,53.3,Neutral
2024-02-24,57.8,Neutral
2024-02-25,57.7,Neutral
2024-02-26,65.6,Greed
2024-02-27,71.8,Greed
2024-02-28,69.7,Greed
2024-02-29,72.6,Greed
2024-03-01,74.1,Greed
2024-03-02,78.4,Greed
2024-03-03,73.1,Greed
2024-03-04,74.7,Greed
2024-03-05,77.7,Greed
2024-03-06,69.2,Greed
2024-03-07,63.6,Greed
2024-03-08,54.7,Neutral
2024-03-09,53.4,Neutral
2024-03-10,56.1,Neutral
2024-03-11,61.8,Greed
2024-03-12,61.5,Greed
2024-03-13,67.5,Greed
2024-03-14,61.1,Greed
2024-03-15,53.7,Neutral
2024-03-16,53.3,Neutral
2024-03-17,54.7,Neutral
2024-03-18,54.3,Neutral
2024-03-19,45.8,Neutral
2024-03-20,45.7,Neutral
2024-03-21,40.7,Neutral
2024-03-22,43.8,Neutral
2024-03-23,45.6,Neutral
2024-03-24,42.0,Neutral
2024-03-25,40.4,Neutral
2024-03-26,36.6,Fear
2024-03-27,37.0,Fear
2024-03-28,41.5,Neutral
2024-03-29,38.0,Fear
2024-03-30,40.6,Neutral
2024-03-31,39.0,Fear
2024-04-01,36.3,Fear
2024-04-02,36.6,Fear
2024-04-03,33.1,Fear
2024-04-04,31.8,Fear
2024-04-05,27.9,Fear
2024-04-06,36.8,Fear
2024-04-07,37.6,Fear
2024-04-08,35.5,Fear
2024-04-09,37.0,Fear
2024-04-10,37.2,Fear
2024-04-11,37.0,Fear
2024-04-12,40.1,Neutral
2024-04-13,43.6,Neutral
2024-04-14,41.8,Neutral
2024-04-15,39.9,Fear
2024-04-16,39.3,Fear
2024-04-17,30.7,Fear
2024-04-18,25.6,Fear
2024-04-19,32.3,Fear
2024-04-20,39.7,Fear
2024-04-21,39.2,Fear
2024-04-22,42.1,Neutral
2024-04-23,43.7,Neutral
2024-04-24,56.4,Neutral
2024-04-25,60.5,Greed
2024-04-26,59.5,Neutral
2024-04-27,55.2,Neutral
2024-04-28,48.5,Neutral
2024-04-29,49.4,Neutral
2024-04-30,46.4,Neutral
2024-05-01,40.9,Neutral
2024-05-02,38.8,Fear
2024-05-03,35.0,Fear
2024-05-04,42.5,Neutral
2024-05-05,46.4,Neutral
2024-05-06,46.5,Neutral
2024-05-07,52.6,Neutral
2024-05-08,52.8,Neutral
2024-05-09,49.2,Neutral
2024-05-10,55.4,Neutral
2024-05-11,57.2,Neutral
2024-05-12,52.7,Neutral
2024-05-13,51.8,Neutral
2024-05-14,48.2,Neutral
2024-05-15,42.8,Neutral
2024-05-16,46.9,Neutral
2024-05-17,54.7,Neutral
2024-05-18,48.8,Neutral
2024-05-19,51.1,Neutral
2024-05-20,48.5,Neutral
2024-05-21,46.6,Neutral
2024-05-22,44.4,Neutral
2024-05-23,41.2,Neutral
2024-05-24,41.9,Neutral
2024-05-25,38.9,Fear
2024-05-26,40.6,Neutral
2024-05-27,40.9,Neutral
2024-05-28,40.4,Neutral
2024-05-29,37.2,Fear
2024-05-30,35.5,Fear
2024-05-31,39.3,Fear
